L;seq_hex;seq_dec;packetNumber;lat;lon;gps_height;hAcc;IMU_PITCH;IMU_ROLL;IMU_YAW;rateX;rateY;rateZ;ALTITUDE;presAltOffsetAtGround;ms5611_altitude;lidar_range;flags;state;IMU_ACCX;IMU_ACCY;IMU_ACCZ;IMU_MAGX;IMU_MAGY;IMU_MAGZ
99;0xD3;211;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014049;-5.886988;3.100985;-0.026205;0.028336;-0.002131;214.139145;214.199387;214.389893;0.000000;50331653;97;0.901177;1.027591;-9.678799;0.000000;0.000000;0.000000
99;0xD4;212;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011603;-5.886298;3.099571;-0.025992;0.028336;-0.002131;214.136673;214.199387;214.387253;0.000000;50331653;97;0.908360;1.023282;-9.679756;0.000000;0.000000;0.000000
99;0xD5;213;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011405;-5.885171;3.099701;-0.025353;0.028336;-0.001704;214.133759;214.199387;214.352890;0.000000;50331653;97;0.904050;1.029985;-9.680715;0.000000;0.000000;0.000000
99;0xD6;214;771;0.0000000000;0.0000000000;0.000000;100.000000;5.012887;-5.888702;3.098731;-0.024927;0.028336;-0.002131;214.130447;214.199387;214.381958;0.000000;50331653;97;0.905008;1.029985;-9.686460;0.000000;0.000000;0.000000
99;0xD7;215;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011822;-5.889064;3.098301;-0.025992;0.028336;-0.002770;214.127579;214.199387;214.366104;0.000000;50331653;97;0.905966;1.022803;-9.678320;0.000000;0.000000;0.000000
99;0xD8;216;771;0.0000000000;0.0000000000;0.000000;100.000000;5.009991;-5.886380;3.098151;-0.026205;0.029188;-0.002131;214.123611;214.199387;214.352890;0.000000;50331653;97;0.905008;1.027112;-9.678799;0.000000;0.000000;0.000000
99;0xD9;217;771;0.0000000000;0.0000000000;0.000000;100.000000;5.008502;-5.885116;3.097406;-0.025566;0.029188;-0.002131;214.119247;214.199387;214.352890;0.000000;50331653;97;0.911233;1.037647;-9.679756;0.000000;0.000000;0.000000
99;0xDA;218;771;0.0000000000;0.0000000000;0.000000;100.000000;5.009779;-5.889897;3.096846;-0.025992;0.028336;-0.002131;214.115005;214.199387;214.352890;0.000000;50331653;97;0.902614;1.025915;-9.678559;0.000000;0.000000;0.000000
99;0xDB;219;771;0.0000000000;0.0000000000;0.000000;100.000000;5.008919;-5.889542;3.096552;-0.025992;0.027484;-0.001065;214.111404;214.199387;214.342331;0.000000;50331653;97;0.905487;1.032858;-9.674968;0.000000;0.000000;0.000000
99;0xDC;220;771;0.0000000000;0.0000000000;0.000000;100.000000;5.009165;-5.890738;3.095685;-0.025992;0.028549;-0.002131;214.106583;214.199387;214.329117;0.000000;50331653;97;0.901656;1.031422;-9.678320;0.000000;0.000000;0.000000
99;0xDD;221;771;0.0000000000;0.0000000000;0.000000;100.000000;5.007724;-5.891195;3.094852;-0.025353;0.027910;-0.002131;214.102402;214.199387;214.360825;0.000000;50331653;97;0.902135;1.024718;-9.674489;0.000000;0.000000;0.000000
99;0xDE;222;771;0.0000000000;0.0000000000;0.000000;100.000000;5.008031;-5.887896;3.095118;-0.025992;0.028123;-0.002131;214.100128;214.199387;214.379318;0.000000;50331653;97;0.901656;1.027112;-9.673532;0.000000;0.000000;0.000000
99;0xDF;223;771;0.0000000000;0.0000000000;0.000000;100.000000;5.006269;-5.886639;3.094087;-0.025992;0.027271;-0.002131;214.098099;214.199387;214.384613;0.000000;50331653;97;0.905008;1.026634;-9.685024;0.000000;0.000000;0.000000
99;0xE0;224;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011289;-5.887506;3.093670;-0.026205;0.028336;-0.002131;214.096237;214.199387;214.381958;0.000000;50331653;97;0.908839;1.026155;-9.683587;0.000000;0.000000;0.000000
99;0xE1;225;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011173;-5.888094;3.092823;-0.027058;0.029401;-0.001704;214.094986;214.199387;214.400452;0.000000;50331653;97;0.908839;1.024239;-9.683587;0.000000;0.000000;0.000000
99;0xE2;226;771;0.0000000000;0.0000000000;0.000000;100.000000;5.015687;-5.881544;3.092584;-0.025992;0.028336;-0.002131;214.094757;214.199387;214.392532;0.000000;50331653;97;0.907881;1.029985;-9.685024;0.000000;0.000000;0.000000
99;0xE3;227;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014315;-5.880991;3.093096;-0.026419;0.028336;-0.000639;214.093292;214.199387;214.389893;0.000000;50331653;97;0.900220;1.024239;-9.677362;0.000000;0.000000;0.000000
99;0xE4;228;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011624;-5.884030;3.092932;-0.026632;0.028336;-0.002131;214.093201;214.199387;214.413681;0.000000;50331653;97;0.906923;1.026634;-9.684545;0.000000;0.000000;0.000000
99;0xE5;229;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011214;-5.884296;3.092605;-0.025779;0.028336;-0.001278;214.093704;214.199387;214.418961;0.000000;50331653;97;0.905008;1.027591;-9.681193;0.000000;0.000000;0.000000
99;0xE6;230;771;0.0000000000;0.0000000000;0.000000;100.000000;5.012191;-5.883129;3.092086;-0.025992;0.028336;-0.002131;214.093781;214.199387;214.411041;0.000000;50331653;97;0.905008;1.035253;-9.676884;0.000000;0.000000;0.000000
99;0xE7;231;771;0.0000000000;0.0000000000;0.000000;100.000000;5.012061;-5.883231;3.091976;-0.026419;0.029188;-0.001917;214.093750;214.199387;214.411041;0.000000;50331653;97;0.906923;1.025197;-9.676405;0.000000;0.000000;0.000000
99;0xE8;232;771;0.0000000000;0.0000000000;0.000000;100.000000;5.011617;-5.884167;3.090528;-0.024927;0.028336;-0.002131;214.094925;214.199387;214.440079;0.000000;50331653;97;0.899741;1.031901;-9.683587;0.000000;0.000000;0.000000
99;0xE9;233;771;0.0000000000;0.0000000000;0.000000;100.000000;5.010654;-5.884126;3.090494;-0.025992;0.028336;-0.001917;214.096619;214.199387;214.445389;0.000000;50331653;97;0.898783;1.031422;-9.684545;0.000000;0.000000;0.000000
99;0xEA;234;771;0.0000000000;0.0000000000;0.000000;100.000000;5.007915;-5.880840;3.090125;-0.024927;0.028336;-0.002131;214.097763;214.199387;214.429520;0.000000;50331653;97;0.904529;1.029507;-9.675447;0.000000;0.000000;0.000000
99;0xEB;235;771;0.0000000000;0.0000000000;0.000000;100.000000;5.006822;-5.880130;3.089777;-0.024927;0.027271;-0.001491;214.099014;214.199387;214.442749;0.000000;50331653;97;0.911233;1.027112;-9.683587;0.000000;0.000000;0.000000
99;0xEC;236;771;0.0000000000;0.0000000000;0.000000;100.000000;5.008236;-5.878785;3.089449;-0.024927;0.027271;-0.001065;214.100540;214.199387;214.455948;0.000000;50331653;97;0.909797;1.035253;-9.686939;0.000000;0.000000;0.000000
99;0xED;237;771;0.0000000000;0.0000000000;0.000000;100.000000;5.007287;-5.879051;3.088705;-0.025992;0.027910;-0.002983;214.102921;214.199387;214.461227;0.000000;50331653;97;0.900220;1.030464;-9.681672;0.000000;0.000000;0.000000
99;0xEE;238;771;0.0000000000;0.0000000000;0.000000;100.000000;5.007061;-5.878341;3.087584;-0.025992;0.028975;-0.002131;214.105591;214.199387;214.453308;0.000000;50331653;97;0.909797;1.028549;-9.672095;0.000000;0.000000;0.000000
99;0xEF;239;771;0.0000000000;0.0000000000;0.000000;100.000000;5.005415;-5.877794;3.087318;-0.026205;0.028336;-0.002983;214.107590;214.199387;214.445389;0.000000;50331653;97;0.901656;1.034774;-9.682630;0.000000;0.000000;0.000000
99;0xF0;240;771;0.0000000000;0.0000000000;0.000000;100.000000;4.998995;-5.883162;3.086143;-0.027058;0.029401;-0.001065;214.109467;214.199387;214.453308;0.000000;50331653;97;0.889685;1.029507;-9.688375;0.000000;0.000000;0.000000
99;0xF1;241;771;0.0000000000;0.0000000000;0.000000;100.000000;4.999596;-5.882343;3.085726;-0.026632;0.028549;-0.001065;214.111893;214.199387;214.466507;0.000000;50331653;97;0.908839;1.029985;-9.689334;0.000000;0.000000;0.000000
99;0xF2;242;771;0.0000000000;0.0000000000;0.000000;100.000000;5.007922;-5.882773;3.085884;-0.027058;0.028336;-0.001491;214.114227;214.199387;214.445389;0.000000;50331653;97;0.905966;1.034295;-9.680715;0.000000;0.000000;0.000000
99;0xF3;243;771;0.0000000000;0.0000000000;0.000000;100.000000;5.006972;-5.883190;3.085139;-0.024927;0.028336;-0.002344;214.116013;214.199387;214.455948;0.000000;50331653;97;0.904050;1.030464;-9.674968;0.000000;0.000000;0.000000
99;0xF4;244;771;0.0000000000;0.0000000000;0.000000;100.000000;5.006508;-5.884399;3.084832;-0.026632;0.028336;-0.001065;214.118683;214.199387;214.477097;0.000000;50331653;97;0.906923;1.028070;-9.684066;0.000000;0.000000;0.000000
99;0xF5;245;771;0.0000000000;0.0000000000;0.000000;100.000000;5.006125;-5.883436;3.084531;-0.025353;0.028336;-0.002131;214.121002;214.199387;214.450668;0.000000;50331653;97;0.900699;1.027112;-9.681193;0.000000;0.000000;0.000000
99;0xF6;246;771;0.0000000000;0.0000000000;0.000000;100.000000;5.013290;-5.885772;3.085153;-0.026845;0.027910;-0.002131;214.122467;214.199387;214.440079;0.000000;50331653;97;0.907402;1.030464;-9.675926;0.000000;0.000000;0.000000
99;0xF7;247;771;0.0000000000;0.0000000000;0.000000;100.000000;5.012259;-5.886072;3.085788;-0.025140;0.028336;-0.001065;214.123672;214.199387;214.437439;0.000000;50331653;97;0.910754;1.026155;-9.680236;0.000000;0.000000;0.000000
99;0xF8;248;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014267;-5.882145;3.086075;-0.025992;0.028975;-0.001491;214.124695;214.199387;214.432159;0.000000;50331653;97;0.904529;1.035731;-9.684066;0.000000;0.000000;0.000000
99;0xF9;249;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014649;-5.883121;3.085870;-0.026205;0.028549;-0.001278;214.126068;214.199387;214.448029;0.000000;50331653;97;0.908839;1.023760;-9.681672;0.000000;0.000000;0.000000
99;0xFA;250;771;0.0000000000;0.0000000000;0.000000;100.000000;5.015537;-5.883524;3.085815;-0.026205;0.028123;-0.001704;214.127426;214.199387;214.450668;0.000000;50331653;97;0.902614;1.027591;-9.665391;0.000000;0.000000;0.000000
99;0xFB;251;771;0.0000000000;0.0000000000;0.000000;100.000000;5.014841;-5.883791;3.085904;-0.025779;0.029401;-0.001065;214.128784;214.199387;214.445389;0.000000;50331653;97;0.910754;1.019930;-9.672095;0.000000;0.000000;0.000000
99;0xFC;252;771;0.0000000000;0.0000000000;0.000000;100.000000;5.016835;-5.882090;3.085576;-0.025566;0.028762;-0.002131;214.130539;214.199387;214.466507;0.000000;50331653;97;0.914585;1.029507;-9.682151;0.000000;0.000000;0.000000
99;0xFD;253;771;0.0000000000;0.0000000000;0.000000;100.000000;5.017470;-5.882131;3.085419;-0.026845;0.029401;-0.001065;214.131927;214.199387;214.448029;0.000000;50331653;97;0.898783;1.029507;-9.689813;0.000000;0.000000;0.000000
99;0xFE;254;771;0.0000000000;0.0000000000;0.000000;100.000000;5.020195;-5.881278;3.085091;-0.025992;0.029188;-0.002131;214.132889;214.199387;214.445389;0.000000;50331653;97;0.905487;1.024718;-9.685503;0.000000;0.000000;0.000000
99;0xFF;255;771;0.0000000000;0.0000000000;0.000000;100.000000;5.019622;-5.880793;3.084436;-0.026845;0.029188;-0.001704;214.134018;214.199387;214.455948;0.000000;50331653;97;0.903572;1.036210;-9.680715;0.000000;0.000000;0.000000
99;0x00;0;772;0.0000000000;0.0000000000;0.000000;100.000000;5.022299;-5.883429;3.083664;-0.025992;0.028336;-0.001065;214.136200;214.199387;214.477097;0.000000;50331653;97;0.906923;1.036689;-9.685503;0.000000;0.000000;0.000000
99;0x01;1;772;0.0000000000;0.0000000000;0.000000;100.000000;5.021063;-5.883552;3.082769;-0.025992;0.027271;-0.002557;214.138367;214.199387;214.471802;0.000000;50331653;97;0.907881;1.025676;-9.679277;0.000000;0.000000;0.000000
99;0x02;2;772;0.0000000000;0.0000000000;0.000000;100.000000;5.019868;-5.885355;3.081758;-0.025992;0.028336;-0.001704;214.139938;214.199387;214.461227;0.000000;50331653;97;0.901656;1.025676;-9.678320;0.000000;0.000000;0.000000
99;0x03;3;772;0.0000000000;0.0000000000;0.000000;100.000000;5.019301;-5.884898;3.081949;-0.025566;0.028336;-0.002131;214.141708;214.199387;214.463867;0.000000;50331653;97;0.903093;1.028070;-9.675447;0.000000;0.000000;0.000000
99;0x04;4;772;0.0000000000;0.0000000000;0.000000;100.000000;5.022224;-5.888490;3.081519;-0.024927;0.027910;-0.001704;214.143265;214.199387;214.469147;0.000000;50331653;97;0.909797;1.027591;-9.686939;0.000000;0.000000;0.000000
99;0x05;5;772;0.0000000000;0.0000000000;0.000000;100.000000;5.021596;-5.887336;3.081792;-0.025992;0.028336;-0.001065;214.145370;214.199387;214.471802;0.000000;50331653;97;0.891601;1.026155;-9.678320;0.000000;0.000000;0.000000
99;0x06;6;772;0.0000000000;0.0000000000;0.000000;100.000000;5.015360;-5.886960;3.080563;-0.026632;0.028762;-0.002131;214.147278;214.199387;214.463867;0.000000;50331653;97;0.900699;1.028549;-9.683587;0.000000;0.000000;0.000000
99;0x07;7;772;0.0000000000;0.0000000000;0.000000;100.000000;5.013946;-5.887609;3.080857;-0.026845;0.028336;-0.001491;214.148758;214.199387;214.466507;0.000000;50331653;97;0.900220;1.026634;-9.679277;0.000000;0.000000;0.000000
